transaction_id,transaction_date,amount
TXN-1000,2026-03-21,231.55
TXN-1001,2026-03-24,557.31
TXN-1002,2026-03-08,287.68
TXN-1003,2026-03-04,1356.63
TXN-1004,2026-03-29,1095.28
TXN-1005,2026-03-19,849.62
TXN-1006,2026-03-01,196.45
TXN-1007,2026-03-08,1015.66
TXN-1008,2026-03-01,1126.88
TXN-1009,2026-03-23,1303.27
TXN-1010,2026-03-18,844.84
TXN-1011,2026-03-15,1182.64
TXN-1012,2026-03-26,1739.91
TXN-1013,2026-03-25,1613.58
TXN-1014,2026-03-23,851.0
TXN-1015,2026-03-09,319.4
TXN-1016,2026-03-31,1529.35
TXN-1017,2026-03-04,194.56
TXN-1018,2026-03-04,724.37
TXN-1019,2026-03-12,1211.41
TXN-1020,2026-03-26,96.47
TXN-1021,2026-03-15,1077.09
TXN-1022,2026-03-30,763.28
TXN-1023,2026-03-18,593.42
TXN-1024,2026-03-21,1240.85
TXN-1025,2026-03-28,729.65
TXN-1026,2026-03-07,1412.1
TXN-1027,2026-03-02,1325.91
TXN-1028,2026-03-25,585.88
TXN-1029,2026-03-03,1712.08
TXN-1030,2026-03-28,210.99
TXN-1031,2026-03-09,912.29
TXN-1032,2026-03-27,736.02
TXN-1033,2026-03-12,716.99
TXN-1034,2026-03-22,541.29
TXN-1035,2026-03-30,1370.26
TXN-1036,2026-03-03,1222.17
TXN-1037,2026-03-06,1072.94
TXN-1038,2026-03-08,335.17
TXN-1039,2026-03-13,547.2
